2026-08-04 07:54:36 | ERROR    | core.logger_manager:error:50 - Market data initialization error: Non-base32 digit found
2026-08-04 07:54:36 | ERROR    | core.logger_manager:error:50 - Initialization failed: Non-base32 digit found
2026-08-04 09:15:22 | ERROR    | core.logger_manager:error:50 - Historical data error: Couldn't parse the JSON response received from the server: b'Access denied because of exceeding access rate'
2026-08-04 09:15:29 | ERROR    | core.logger_manager:error:50 - Historical data error: list indices must be integers or slices, not str
2026-08-04 09:15:36 | ERROR    | core.logger_manager:error:50 - Historical data error: Couldn't parse the JSON response received from the server: b'Access denied because of exceeding access rate'
2026-08-04 09:15:42 | ERROR    | core.logger_manager:error:50 - Historical data error: Couldn't parse the JSON response received from the server: b'Access denied because of exceeding access rate'
2026-08-04 09:15:49 | ERROR    | core.logger_manager:error:50 - Historical data error: list indices must be integers or slices, not str
2026-08-04 09:15:55 | ERROR    | core.logger_manager:error:50 - Historical data error: Couldn't parse the JSON response received from the server: b'Access denied because of exceeding access rate'
2026-08-04 09:16:01 | ERROR    | core.logger_manager:error:50 - Historical data error: list indices must be integers or slices, not str
2026-08-04 09:16:08 | ERROR    | core.logger_manager:error:50 - Historical data error: Couldn't parse the JSON response received from the server: b'Access denied because of exceeding access rate'
2026-08-04 09:16:14 | ERROR    | core.logger_manager:error:50 - Historical data error: Couldn't parse the JSON response received from the server: b'Access denied because of exceeding access rate'
2026-08-04 09:16:21 | ERROR    | core.logger_manager:error:50 - Historical data error: Couldn't parse the JSON response received from the server: b'Access denied because of exceeding access rate'
2026-08-04 09:16:28 | ERROR    | core.logger_manager:error:50 - Historical data error: Couldn't parse the JSON response received from the server: b'Access denied because of exceeding access rate'
2026-08-04 09:16:34 | ERROR    | core.logger_manager:error:50 - Historical data error: Couldn't parse the JSON response received from the server: b'Access denied because of exceeding access rate'
2026-08-04 09:16:41 | ERROR    | core.logger_manager:error:50 - Historical data error: Couldn't parse the JSON response received from the server: b'Access denied because of exceeding access rate'
2026-08-04 09:16:48 | ERROR    | core.logger_manager:error:50 - Historical data error: list indices must be integers or slices, not str
2026-08-04 09:16:54 | ERROR    | core.logger_manager:error:50 - Historical data error: Couldn't parse the JSON response received from the server: b'Access denied because of exceeding access rate'
2026-08-04 09:17:01 | ERROR    | core.logger_manager:error:50 - Historical data error: Couldn't parse the JSON response received from the server: b'Access denied because of exceeding access rate'
2026-08-04 09:17:07 | ERROR    | core.logger_manager:error:50 - Historical data error: Couldn't parse the JSON response received from the server: b'Access denied because of exceeding access rate'
2026-08-04 09:17:14 | ERROR    | core.logger_manager:error:50 - Historical data error: Couldn't parse the JSON response received from the server: b'Access denied because of exceeding access rate'
2026-08-04 09:17:20 | ERROR    | core.logger_manager:error:50 - Historical data error: Couldn't parse the JSON response received from the server: b'Access denied because of exceeding access rate'
2026-08-04 09:19:25 | ERROR    | core.logger_manager:error:50 - Historical data error: list indices must be integers or slices, not str
2026-08-04 09:24:59 | ERROR    | core.logger_manager:error:50 - Historical data error: Couldn't parse the JSON response received from the server: b'Access denied because of exceeding access rate'
2026-08-04 09:25:12 | ERROR    | core.logger_manager:error:50 - Historical data error: Couldn't parse the JSON response received from the server: b'Access denied because of exceeding access rate'
2026-08-04 09:25:34 | ERROR    | core.logger_manager:error:50 - Historical data error: Couldn't parse the JSON response received from the server: b'Access denied because of exceeding access rate'
2026-08-04 09:58:02 | ERROR    | core.logger_manager:error:50 - Shutdown error: HTTPSConnectionPool(host='apiconnect.angelone.in', port=443): Read timed out. (read timeout=7)
2026-08-04 11:36:46 | ERROR    | core.logger_manager:error:50 - Live data error: HTTPSConnectionPool(host='apiconnect.angelone.in', port=443): Max retries exceeded with url: /rest/secure/angelbroking/order/v1/getLtpData (Caused by ConnectTimeoutError(<HTTPSConnection(host='apiconnect.angelone.in', port=443) at 0x74aa9be350>, 'Connection to apiconnect.angelone.in timed out. (connect timeout=7)'))
2026-08-04 11:37:05 | ERROR    | core.logger_manager:error:50 - Shutdown error: HTTPSConnectionPool(host='apiconnect.angelone.in', port=443): Max retries exceeded with url: /rest/secure/angelbroking/user/v1/logout (Caused by ConnectTimeoutError(<HTTPSConnection(host='apiconnect.angelone.in', port=443) at 0x74aa9bf750>, 'Connection to apiconnect.angelone.in timed out. (connect timeout=7)'))
2026-08-04 11:46:05 | ERROR    | core.logger_manager:error:50 - Telegram send error: HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot8974188460:AAEEhBCX0FmjFVSftP5ZGqI96y-Z0hM4K4E/sendMessage (Caused by ConnectTimeoutError(<HTTPSConnection(host='api.telegram.org', port=443) at 0x724140f890>, 'Connection to api.telegram.org timed out. (connect timeout=10)'))
2026-08-04 12:32:31 | ERROR    | core.logger_manager:error:50 - Telegram init error: HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot8974188460:AAEEhBCX0FmjFVSftP5ZGqI96y-Z0hM4K4E/getMe (Caused by ConnectTimeoutError(<HTTPSConnection(host='api.telegram.org', port=443) at 0x713a0e0910>, 'Connection to api.telegram.org timed out. (connect timeout=10)'))
2026-08-04 12:32:47 | ERROR    | core.logger_manager:error:50 - Telegram send error: HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot8974188460:AAEEhBCX0FmjFVSftP5ZGqI96y-Z0hM4K4E/sendMessage (Caused by ConnectTimeoutError(<HTTPSConnection(host='api.telegram.org', port=443) at 0x713a0e2350>, 'Connection to api.telegram.org timed out. (connect timeout=10)'))
2026-08-04 12:36:24 | ERROR    | core.logger_manager:error:50 - Telegram send error: HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot8974188460:AAEEhBCX0FmjFVSftP5ZGqI96y-Z0hM4K4E/sendMessage (Caused by ConnectTimeoutError(<HTTPSConnection(host='api.telegram.org', port=443) at 0x713a0e3750>, 'Connection to api.telegram.org timed out. (connect timeout=10)'))
2026-08-04 13:35:53 | ERROR    | core.logger_manager:error:50 - Market data init error: HTTPSConnectionPool(host='apiconnect.angelone.in', port=443): Max retries exceeded with url: /rest/auth/angelbroking/user/v1/loginByPassword (Caused by NameResolutionError("HTTPSConnection(host='apiconnect.angelone.in', port=443): Failed to resolve 'apiconnect.angelone.in' ([Errno 7] No address associated with hostname)"))
2026-08-04 13:35:53 | ERROR    | core.logger_manager:error:50 - Initialization failed: HTTPSConnectionPool(host='apiconnect.angelone.in', port=443): Max retries exceeded with url: /rest/auth/angelbroking/user/v1/loginByPassword (Caused by NameResolutionError("HTTPSConnection(host='apiconnect.angelone.in', port=443): Failed to resolve 'apiconnect.angelone.in' ([Errno 7] No address associated with hostname)"))
2026-08-05 14:21:58 | ERROR    | core.logger_manager:error:50 - Analysis cycle error: MasterDecisionEngine._analyze_oi() missing 1 required positional argument: 'market_data'
2026-08-06 16:38:52 | ERROR    | core.logger_manager:error:50 - Market data init error: HTTPSConnectionPool(host='apiconnect.angelone.in', port=443): Read timed out. (read timeout=7)
2026-08-07 13:24:04 | ERROR    | core.logger_manager:error:50 - Market data init error: HTTPSConnectionPool(host='apiconnect.angelone.in', port=443): Read timed out. (read timeout=7)
2026-08-07 13:24:04 | ERROR    | core.logger_manager:error:50 - Initialization failed: HTTPSConnectionPool(host='apiconnect.angelone.in', port=443): Read timed out. (read timeout=7)
2026-08-08 15:16:20 | ERROR    | core.logger_manager:error:50 - Telegram init error: HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded wit
2026-08-15 19:56:31 | ERROR    | core.logger_manager:error:50 - Initialization failed: 'ShadowSignal' object has no attribute '_load_existing'
2026-08-15 20:02:58 | ERROR    | core.logger_manager:error:50 - Initialization failed: 'ShadowSignal' object has no attribute '_load_existing'
2026-08-15 20:04:21 | ERROR    | core.logger_manager:error:50 - Initialization failed: 'ShadowSignal' object has no attribute '_load_existing'
2026-08-15 21:14:27 | ERROR    | core.logger_manager:error:50 - Initialization failed: 'ShadowSignal' object has no attribute '_load_existing'
2026-08-18 09:39:22 | ERROR    | core.logger_manager:error:50 - Analysis cycle error: unsupported operand type(s) for -: 'list' and 'set'
2026-08-18 09:45:02 | ERROR    | core.logger_manager:error:50 - Analysis cycle error: unsupported operand type(s) for -: 'list' and 'set'
2026-08-18 09:46:46 | ERROR    | core.logger_manager:error:50 - Analysis cycle error: unsupported operand type(s) for -: 'list' and 'set'
2026-08-18 09:48:29 | ERROR    | core.logger_manager:error:50 - Analysis cycle error: unsupported operand type(s) for -: 'list' and 'set'
2026-08-18 10:56:44 | ERROR    | core.logger_manager:error:50 - Analysis cycle error: unsupported operand type(s) for -: 'list' and 'set'
2026-08-18 10:58:14 | ERROR    | core.logger_manager:error:50 - Analysis cycle error: unsupported operand type(s) for -: 'list' and 'set'
2026-08-18 10:59:41 | ERROR    | core.logger_manager:error:50 - Analysis cycle error: unsupported operand type(s) for -: 'list' and 'set'
2026-08-18 11:01:14 | ERROR    | core.logger_manager:error:50 - Analysis cycle error: unsupported operand type(s) for -: 'list' and 'set'
2026-08-19 09:37:46 | ERROR    | core.logger_manager:error:50 - Analysis cycle error: unsupported operand type(s) for -: 'list' and 'set'
2026-08-19 09:39:13 | ERROR    | core.logger_manager:error:50 - Analysis cycle error: unsupported operand type(s) for -: 'list' and 'set'
2026-08-19 09:40:43 | ERROR    | core.logger_manager:error:50 - Analysis cycle error: unsupported operand type(s) for -: 'list' and 'set'
2026-08-19 09:42:09 | ERROR    | core.logger_manager:error:50 - Analysis cycle error: unsupported operand type(s) for -: 'list' and 'set'
2026-08-19 11:43:57 | ERROR    | core.logger_manager:error:50 - Market data init error: HTTPSConnectionPool(host='apiconnect.angelone.in', port=443): Read timed out. (read timeout=7)
2026-08-19 11:43:57 | ERROR    | core.logger_manager:error:50 - Initialization failed: HTTPSConnectionPool(host='apiconnect.angelone.in', port=443): Read timed out. (read timeout=7)
2026-08-21 13:04:39 | ERROR    | core.logger_manager:error:50 - Market data init error: HTTPSConnectionPool(host='apiconnect.angelone.in', port=443): Read timed out. (read timeout=7)
